id,study_id,sex,race,x1,x2,x3,x4,x5,x6,x7,x8,x9,learn
1,0,0,0,0,0,0,0,0,0,0,0,,5
2,0,0,0,1,1,1,1,1,1,1,1,,1
3,0,0,0,1,1,1,1,0,1,1,1,,3
4,0,0,0,1,1,1,0,1,1,1,1,,2
5,0,0,0,0,0,0,0,0,0,1,0,,4
6,0,0,0,0,0,0,0,1,1,1,0,,0
7,0,0,0,0,0,0,0,0,1,0,0,,5
8,0,0,0,1,1,1,0,1,1,1,0,,4
9,0,0,0,0,1,1,0,0,1,1,0,,5
10,0,0,0,0,1,1,1,1,1,1,1,,4
11,0,0,0,1,1,1,0,0,1,1,0,,2
12,0,0,0,0,0,0,0,0,1,0,0,,2
13,0,0,0,0,0,1,0,1,1,1,1,,2
14,0,0,0,1,1,0,0,1,1,1,1,,2
15,0,0,0,1,1,1,1,1,1,1,1,,2
16,0,0,0,1,1,1,1,1,1,1,1,,2
17,0,0,0,1,1,1,1,1,1,1,1,,3
18,0,0,0,1,1,1,0,1,1,1,0,,3
19,0,0,0,1,1,0,0,1,1,1,0,,5
20,0,0,0,0,1,0,0,0,1,0,0,,1
21,0,0,0,1,1,1,0,1,1,1,1,,4
22,0,0,0,0,1,1,0,0,1,1,1,,2
23,0,0,0,1,1,1,1,1,1,1,1,,4
24,0,0,0,0,1,0,0,0,1,0,0,,4
25,0,0,0,1,1,1,0,1,1,1,0,,4
26,0,0,0,1,1,1,0,0,1,1,1,,3
27,0,0,0,1,0,1,0,0,1,1,0,,2
28,0,0,0,1,1,1,1,1,1,1,1,,2
29,0,0,0,0,1,0,0,0,1,0,0,,2
30,0,0,0,1,1,1,0,1,1,1,1,,3
31,0,0,0,0,0,0,0,0,0,0,0,,5
32,0,0,0,0,0,0,0,0,1,0,0,,5
33,0,0,0,0,0,0,0,0,1,0,0,,2
34,0,0,0,1,1,1,0,1,1,1,1,,3
35,0,0,0,0,0,0,0,0,0,0,0,,5
36,0,0,0,0,0,0,0,0,1,0,0,,3
37,0,0,0,1,1,1,1,1,1,1,1,,2
38,0,0,0,0,0,0,0,0,0,0,0,,5
39,0,0,0,0,0,0,0,0,0,0,0,,1
40,0,0,0,1,1,1,0,1,1,1,0,,2
41,0,0,0,0,1,0,0,0,1,1,0,,4
42,0,0,0,1,0,0,0,1,1,1,0,,2
43,0,0,0,1,1,0,1,1,1,1,1,,5
44,0,0,0,1,1,1,1,0,1,1,0,,0
45,0,0,0,1,1,0,0,0,1,0,0,,5
